[Sensor Definition]
Channel no.,Type,x,y,z,theta,phi,size,baseline
,,[mm],[mm],[mm],[deg],[deg],[mm],[mm]
0,AxialGradioMeter,-105.48,-64.87,20.65,81.77,220.07,15.50,50.00
1,AxialGradioMeter,-124.59,-18.09,23.18,79.58,190.26,15.50,50.00
2,AxialGradioMeter,-111.13,-59.40,-62.34,91.54,214.59,15.50,50.00
3,AxialGradioMeter,-121.23,-38.52,-58.41,89.71,203.80,15.50,50.00
4,AxialGradioMeter,-126.75,-16.46,-57.34,89.37,190.91,15.50,50.00
5,AxialGradioMeter,-94.72,-79.76,-63.59,90.84,226.39,15.50,50.00
6,AxialGradioMeter,-93.13,-71.41,38.97,73.78,226.48,15.50,50.00
7,AxialGradioMeter,-108.00,-49.91,41.41,72.32,213.18,15.50,50.00
8,AxialGradioMeter,-13.15,121.70,-62.18,85.81,93.54,15.50,50.00
9,AxialGradioMeter,-80.63,91.72,-43.14,97.58,123.61,15.50,50.00
10,AxialGradioMeter,-36.36,113.09,-62.36,87.95,103.28,15.50,50.00
11,AxialGradioMeter,-60.54,103.82,-63.12,89.29,113.48,15.50,50.00
12,AxialGradioMeter,-125.38,7.55,23.53,79.58,174.48,15.50,50.00
13,AxialGradioMeter,-109.75,53.69,21.65,79.51,146.74,15.50,50.00
14,AxialGradioMeter,-97.61,73.65,-6.99,89.83,135.49,15.50,50.00
15,AxialGradioMeter,-86.66,38.34,84.55,50.90,150.43,15.50,50.00
16,AxialGradioMeter,-59.34,-4.23,111.67,28.43,184.13,15.50,50.00
17,AxialGradioMeter,-126.05,-16.10,-34.79,92.18,189.71,15.50,50.00
18,AxialGradioMeter,-93.36,-80.47,-41.91,96.47,230.44,15.50,50.00
19,AxialGradioMeter,-116.12,-26.43,41.93,72.21,196.21,15.50,50.00
20,AxialGradioMeter,-8.84,-118.34,29.66,80.23,267.66,15.50,50.00
21,AxialGradioMeter,-59.80,-103.43,36.46,76.33,244.20,15.50,50.00
22,AxialGradioMeter,-110.46,-5.15,62.87,63.24,183.11,15.50,50.00
23,AxialGradioMeter,-83.97,-72.57,58.44,66.31,228.88,15.50,50.00
24,AxialGradioMeter,-115.53,19.02,43.59,70.15,167.85,15.50,50.00
25,AxialGradioMeter,-108.77,41.63,44.83,70.78,152.96,15.50,50.00
26,AxialGradioMeter,-76.21,18.79,100.98,37.65,160.21,15.50,50.00
27,AxialGradioMeter,-70.90,58.70,83.88,52.15,132.62,15.50,50.00
28,AxialGradioMeter,-54.31,74.95,83.09,54.13,118.92,15.50,50.00
29,AxialGradioMeter,-32.33,83.08,80.66,55.68,109.35,15.50,50.00
